# Created 3 Jul 2023 17:18:21 from Pseudomonas_aeruginosa_PAO1.xml
# Exclude:  EX/DM  EX reversals  non-reversible reactions
# Costs: ( gpa 1 no_gpa 5 ) + ( no_rev 0 rev 1 bad_rev 5 )
MET M_3dhq_c	"3-Dehydroquinate"
MET M_3dhsk_c	"3-Dehydroshikimate"
MET M_3fctcl_c	"3-Fluorocatechol"
MET M_3fmcnt_c	"3-Fluoro-cis,cis-muconate"
MET M_3fumrlpyr_c	"3-Fumarylpyruvate"
MET M_3h3mop_c	"(R)-3-Hydroxy-3-methyl-2-oxopentanoate"
MET M_3haACP_c	"(3R)-3-Hydroxyacyl-[acyl-carrier protein]"
MET M_3hacoa_c	"(S)-3-Hydroxyacyl-CoA"
MET M_3hadpcoa_c	"(3S)-3-Hydroxyadipyl-CoA"
MET M_3hanthrn_c	"3-hydroxyanthranilate"
MET M_3hbcoa_c	"(S)-3-hydroxybutanoyl-CoA(4-)"
MET M_3hbcoa_R_c	"(R)-3-hydroxybutanoyl-CoA(4-)"
MET M_3hbnlcoa_c	"3-Hydroxybutanoyl-CoA"
MET M_3hdcoa_c	"(S)-3-Hydroxydecanoyl-CoA"
MET M_3hddcoa_c	"(S)-3-Hydroxydodecanoyl-CoA"
MET M_3hddecACP_c	"(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]"
MET M_3hdecACP_c	"(R)-3-Hydroxydecanoyl-[acyl-carrier protein]"
MET M_3hgACPm_c	"3-hydroxyglutaryl-ACP methyl ester"
MET M_3hhcoa_c	"(S)-3-Hydroxyhexanoyl-CoA"
MET M_3hhdcoa_c	"(S)-3-Hydroxyhexadecanoyl-CoA"
MET M_3hhexACP_c	"(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]"
MET M_3hibutcoa_c	"(S)-3-Hydroxyisobutyryl-CoA"
MET M_3hmbcoa_c	"(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA(4-)"
MET M_3hmhecoa_c	"3-Hydroxy-5-methylhex-4-enoyl-CoA"
MET M_3hmp_c	"3-hydroxy-2-methylpropanoate"
MET M_3hmrsACP_c	"(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]"
MET M_3hocoa_c	"(S)-3-Hydroxyoctanoyl-CoA"
MET M_3hoctACP_c	"(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]"
MET M_3hoctaACP_c	"(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]"
MET M_3hopc4coa_c	"3-Hydroxy-OPC4-CoA"
MET M_3hopc6coa_c	"3-Hydroxy-OPC6-CoA"
MET M_3hopc8coa_c	"3-Hydroxy-OPC8-CoA"
MET M_3hpACPm_c	"3-hydroxypimeloyl-ACP methyl ester"
MET M_3hpalmACP_c	"R-3-hydroxypalmitoyl-[acyl-carrier protein]"
MET M_3hpcoa_c	"3-hydroxypropanoyl-CoA(4-)"
MET M_3hphac_c	"3-Hydroxyphenylacetate"
MET M_3hphac_e	"3-Hydroxyphenylacetate"
MET M_3hphac_p	"3-Hydroxyphenylacetate"
MET M_3hpmlcoa_c	"3-Hydroxypimelyl-CoA"
MET M_3htdcoa_c	"(S)-3-Hydroxytetradecanoyl-CoA"
MET M_3ig3p_c	"C-(3-Indolyl)-glycerol 3-phosphate"
MET M_3ipenlcoa_c	"3-Isopropylbut-3-enoyl-CoA"
MET M_3ipent_c	"3-Isopropylbut-3-enoic acid"
MET M_3m1hbtpp_c	"3-Methyl-1-hydroxybutyl-TPP"
MET M_3mb2coa_c	"3-methylbut-2-enoyl-CoA(4-)"
MET M_3mbutACP_c	"3-methylbutanoyl-ACP,isovaleryl-ACP"
MET M_3mgcoa_c	"trans-3-methylglutaconyl-CoA(5-)"
MET M_3mmlctn_c	"3-Methylmuconolactone"
MET M_3mmucnt_c	"3-Methyl-cis,cis-muconate"
MET M_3mob_c	"3-methyl-2-oxobutanoate"
MET M_3mop_c	"3-methyl-2-oxopentanoate"
MET M_3msaclt_c	"3-Methylsalicylate"
MET M_3oacoa_c	"3-Oxoacyl-CoA"
MET M_3odcoa_c	"3-Oxodecanoyl-CoA"
MET M_3oddcoa_c	"3-Oxododecanoyl-CoA"
MET M_3oddecACP_c	"3-Oxododecanoyl-[acyl-carrier protein]"
MET M_3odecACP_c	"3-Oxodecanoyl-[acyl-carrier protein]"
MET M_3ogACPm_c	"3-ketoglutaryl-ACP methyl ester"
MET M_3ohcoa_c	"3-Oxohexanoyl-CoA"
MET M_3ohdcoa_c	"3-oxopalmitoyl-CoA(4-)"
MET M_3ohexACP_c	"3-Oxohexanoyl-[acyl-carrier protein]"
MET M_3omrsACP_c	"3-Oxotetradecanoyl-[acyl-carrier protein]"
MET M_3oocoa_c	"3-Oxooctanoyl-CoA"
MET M_3ooctACP_c	"3-Oxooctanoyl-[acyl-carrier protein]"
MET M_3ooctdACP_c	"3-Oxooctadecanoyl-[acyl-carrier protein]"
MET M_3oopc4coa_c	"3-Oxo-OPC4-CoA"
MET M_3oopc6coa_c	"3-Oxo-OPC6-CoA"
MET M_3opACPm_c	"3-ketopimeloyl-ACP methyl ester"
MET M_3opalmACP_c	"3-Oxohexadecanoyl-[acyl-carrier protein]"
MET M_3opc8ocoa_c	"3-Oxo-OPC8-CoA"
MET M_3ophb_c	"3-Octaprenyl-4-hydroxybenzoate"
MET M_3otdcoa_c	"3-Oxotetradecanoyl-CoA"
MET M_3oxoadp_c	"3-Oxoadipate"
MET M_3pg_c	"3-Phospho-D-glycerate"
MET M_3php_c	"3-phosphonatooxypyruvate(3-)"
MET M_3psme_c	"5-O-(1-Carboxyvinyl)-3-phosphoshikimate"
MET M_3rbleu_c	"(3R)-beta-Leucine"
MET M_3slact_c	"3-Sulfolactate"
MET M_3uib_c	"3-Ureidoisobutyrate"
MET M_4a5ic_c	"4-Amino-5-imidazolecarboxylic acid"
MET M_4abut_c	"4-Aminobutanoate"
MET M_4abut_e	"4-Aminobutanoate"
MET M_4abut_p	"4-Aminobutanoate"
MET M_4abutn_c	"4-Aminobutanal"
MET M_4abz_c	"4-Aminobenzoate"
MET M_4adcho_c	"4-amino-4-deoxychorismate"
MET M_4ampm_c	"4-Amino-2-methyl-5-phosphomethylpyrimidine"
MET M_4aphe_c	"4-Aminophenol"
MET M_4c2me_c	"4-(cytidine 5-diphospho)-2-C-methyl-D-erythritol"
MET M_4chlctchl_c	"4-Chlorocatechol"
MET M_4chlt3one_c	"4-Cholesten-3-one"
MET M_4fctcl_c	"4-Fluorocatechol"
MET M_4gubut_c	"4-Guanidinobutanoate"
MET M_4gudbd_c	"4-Guanidinobutanamide"
MET M_4h2oglt_c	"4-hydroxy-2-oxoglutarate(2-)"
